"site","burial","age","section","half_A_B","half_C_D","element_1","total_element"
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"CB",27
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",12
"VFT","29","Non-adult ","central",NA,NA,"LB",3
"VFT","29","Non-adult ","central",NA,NA,"LB",3
"VFT","29","Non-adult ","central",NA,NA,"LB",3
"VFT","29","Non-adult ","central",NA,NA,"SB",2
"VFT","29","Non-adult ","central",NA,NA,"SB",2
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"T",3
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"CB",46
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
"VFT","29","Non-adult ","central",NA,NA,"LB",38
