site,burial,sex,age,layer,section,quadrant,half_A_B,half_C_D,component,element_1,element_2,bone,area,side,P1,P2,P3,mosaic,longitudinal,transversal,curved,bulls_eye,deformation,twisting,concretion,red_brown,yellow,green,manganese,cm_0_1,cm_1_2,cm_2_3,cm_3_4,cm_4_5,over_cm_5,weight_gr,total_element,total_urn,total_section,total_half_A_B,total_half_C_D
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,S,SB,I,I,I,I,,,2,,,,,,,,,,,,,2,,,,,,0.23,2,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,F,T,R,I,I,I,,,3,,,1,2,,,,,,,,,1,2,,,,,0.27,3,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,Ir,T,V,I,Ar,I,,,3,,,,2,,,,,,,,,,3,,,,,0.67,3,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,F,CB,Cr,I,I,I,,,46,4,,,,,1,,,2,,,1,44,2,,,,,2.86,46,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,C,LB,D,I,I,I,,,38,,,,,,,,,1,,,2,29,9,,,,,1.31,38,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,C,LB,D,I,I,I,,6,,,,,,,,,,,,,,4,2,,,,,0.23,6,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,S,SB,I,I,I,I,,,3,,,,,,,,,,,,,3,,,,,,0.21,3,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,F,T,R,I,I,I,,,6,,,,2,,,,,,,,,4,2,,,,,0.38,6,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,T,CB,T,I,Ro,I,,,1,,,,1,,,,,1,,,,1,,,,,,0.04,1,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,T,CB,T,I,Cro,I,,,1,1,,,,,,,,,,,,1,,,,,,0.05,1,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,T,CB,T,I,I,I,,,4,1,,,,,,,,1,,,2,4,,,,,,0.14,4,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),2,central,Si,,,T,CB,B,In1,Cro,L,,,1,1,,,,,,,,,,,1,1,,,,,,0.17,1,826,304,,
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,F,CB,Cr,I,I,I,,,13,2,,,,,,,,1,,,,5,7,,,,,1.59,12,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,F,T,R,I,I,I,,,4,,,,,,,,,,,,,,4,,,,,0.42,4,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,S,SB,I,I,I,I,,,2,,,,,,,,,,,,,,2,,,,,0.8,2,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,9,half_A,half_C,C,LB,D,I,I,I,,,4,,,,,,,,,,,,,2,2,,,,,0.27,4,826,410,168,215
VFT,29,ND,Non-adult (3-5 yrs),3,lower,10,half_B,half_C,F,CB,Cr,I,I,I,,,50,8,,,,,,,,5,,,5,22,20,5,,,,8.57,47,826,410,249,215
